statDate,views
24.03.2018,10904392
16.02.2018,10706969
10.01.2018,10484053
01.01.2018,10426677
30.11.2017,10273704
23.11.2017,10234091
03.10.2017,9927360
23.08.2017,9687347
11.08.2017,9610472
25.07.2017,9515334
13.07.2017,9449576
09.07.2017,9424939
26.06.2017,9334732
19.06.2017,9298000
30.05.2017,9180734
24.05.2017,9152545
15.05.2017,9101780
11.05.2017,9080462
03.05.2017,9037441
24.04.2017,8952805
17.04.2017,8914468
14.04.2017,8885358
12.04.2017,8873514
10.04.2017,8844180
06.04.2017,8842310
04.04.2017,8801206
15.03.2017,8714052
07.03.2017,8680545
27.02.2017,8636052
20.02.2017,8620852
10.02.2017,8557328
06.02.2017,8525543
01.02.2017,8481330
24.01.2017,8423741
17.01.2017,8340937
09.01.2017,8187588
06.01.2017,8134548
01.01.2017,8061339
26.12.2016,7967619
20.12.2016,7881689
30.11.2016,7598775
28.11.2016,7583175
26.11.2016,7567185
24.11.2016,7544683
23.11.2016,7529769
18.11.2016,7452562
15.11.2016,7405490
10.11.2016,7335743
06.10.2016,6878332
12.09.2016,6626094
08.09.2016,6581937
06.09.2016,6549150
02.09.2016,6486354
30.08.2016,6446904
29.08.2016,6436743
26.08.2016,6377483
14.08.2016,6234531
06.08.2016,6144344
03.08.2016,6102490
25.07.2016,6016287
23.07.2016,5995026
22.07.2016,5982927
21.07.2016,5974508
19.07.2016,5949280
18.07.2016,5939667
16.07.2016,5917108
14.07.2016,5897688
13.07.2016,5882254
12.07.2016,5874901
11.07.2016,5860831
10.07.2016,5850147
09.07.2016,5838379
07.07.2016,5819449
06.07.2016,5802633
05.07.2016,5790284
04.07.2016,5778943
03.07.2016,5767645
02.07.2016,5757206
01.07.2016,5745138
30.06.2016,5733258
29.06.2016,5722217
28.06.2016,5710914
27.06.2016,5700233
26.06.2016,5692189
25.06.2016,5677677
24.06.2016,5666755
23.06.2016,5654563
22.06.2016,5643734
21.06.2016,5632014
20.06.2016,5623085
19.06.2016,5610087
18.06.2016,5598687
17.06.2016,5587285
14.06.2016,5549528
13.06.2016,5542917
12.06.2016,5532404
11.06.2016,5519191
10.06.2016,5507755
09.06.2016,5497473
