statDate,views
27.02.2017,15200
20.02.2017,63524
10.02.2017,31785
06.02.2017,44213
01.02.2017,57589
24.01.2017,82804
17.01.2017,153349
09.01.2017,53040
06.01.2017,73209
01.01.2017,93720
26.12.2016,85930
20.12.2016,282914
30.11.2016,15600
28.11.2016,15990
26.11.2016,22502
24.11.2016,14914
23.11.2016,77207
18.11.2016,47072
15.11.2016,69747
10.11.2016,457411
06.10.2016,252238
12.09.2016,44157
08.09.2016,32787
06.09.2016,62796
02.09.2016,39450
30.08.2016,10161
29.08.2016,59260
26.08.2016,142952
14.08.2016,90187
06.08.2016,41854
03.08.2016,86203
25.07.2016,21261
23.07.2016,12099
22.07.2016,8419
21.07.2016,25228
19.07.2016,9613
18.07.2016,22559
16.07.2016,19420
14.07.2016,15434
13.07.2016,7353
12.07.2016,14070
11.07.2016,10684
10.07.2016,11768
09.07.2016,18930
07.07.2016,16816
06.07.2016,12349
05.07.2016,11341
04.07.2016,11298
03.07.2016,10439
02.07.2016,12068
01.07.2016,11880
30.06.2016,11041
29.06.2016,11303
28.06.2016,10681
27.06.2016,8044
26.06.2016,14512
25.06.2016,10922
24.06.2016,12192
23.06.2016,10829
22.06.2016,11720
21.06.2016,8929
20.06.2016,12998
19.06.2016,11400
18.06.2016,11402
17.06.2016,37757
14.06.2016,6611
13.06.2016,10513
12.06.2016,13213
11.06.2016,11436
10.06.2016,10282
09.06.2016,14581
08.06.2016,8832
07.06.2016,12472
06.06.2016,9903
05.06.2016,11858
04.06.2016,9866
03.06.2016,12995
02.06.2016,11696
01.06.2016,11696
31.05.2016,10167
30.05.2016,55850
25.05.2016,11402
24.05.2016,10234
23.05.2016,16758
22.05.2016,4094
21.05.2016,11457
20.05.2016,11141
19.05.2016,11835
18.05.2016,11875
17.05.2016,15404
16.05.2016,10954
15.05.2016,11205
14.05.2016,11597
13.05.2016,9794
12.05.2016,13859
11.05.2016,10723
10.05.2016,9872
09.05.2016,12738
08.05.2016,12177
07.05.2016,11678
06.05.2016,9021
05.05.2016,8266
04.05.2016,7250
03.05.2016,10398
02.05.2016,11869
01.05.2016,12247
30.04.2016,25227
