statDate,views,id
16.08.2018,14424228,d0
15.08.2018,14407920,d2
14.08.2018,14383644,d2
10.08.2018,14300440,d2
09.08.2018,14282207,d2
08.08.2018,14258235,d1
27.07.2018,13766534,d1
26.07.2018,13732133,d2
25.07.2018,13706261,d2
24.07.2018,13691116,d2
19.07.2018,13478722,d3
17.07.2018,13392233,d1
10.07.2018,13119694,d0
06.07.2018,12972852,d2
05.07.2018,12964288,d1
04.07.2018,12936668,d2
03.07.2018,12907951,d3
02.07.2018,12895120,d1
01.07.2018,12870253,d3
30.06.2018,12849020,d1
29.06.2018,12825549,d1
28.06.2018,12798692,d2
27.06.2018,12779065,d1
26.06.2018,12737492,d2
24.06.2018,12605499,d1
23.06.2018,12574411,d1
22.06.2018,12520923,d1
21.06.2018,12472175,d1
20.06.2018,12413181,d1
19.06.2018,12347466,d2
18.06.2018,12280485,d0
17.06.2018,12251016,d3
16.06.2018,12221072,d2
15.06.2018,12207351,d2
14.06.2018,12190912,d1
08.06.2018,12079286,d2
07.06.2018,12065760,d1
06.06.2018,12045680,d1
05.06.2018,12033406,d3
04.06.2018,12008205,d2
03.06.2018,12004333,d0
02.06.2018,11992199,d3
31.05.2018,11948687,d2
30.05.2018,11926826,d3
29.05.2018,11920152,d3
28.05.2018,11890655,d0
27.05.2018,11874087,d1
26.05.2018,11865372,d1
25.05.2018,11845913,d1
24.05.2018,11824559,d1
23.05.2018,11814702,d0
22.05.2018,11797311,d1
21.05.2018,11771856,d1
20.05.2018,11754067,d0
18.05.2018,11717328,d2
17.05.2018,11699248,d0
16.05.2018,11695023,d1
15.05.2018,11677842,d3
14.05.2018,11668345,d3
13.05.2018,11651329,d2
12.05.2018,11641923,d0
11.05.2018,11618725,d0
10.05.2018,11602428,d1
09.05.2018,11588300,d2
08.05.2018,11580015,d2
07.05.2018,11565132,d1
06.05.2018,11550587,d2
05.05.2018,11539517,d3
04.05.2018,11525759,d2
03.05.2018,11515805,d1
02.05.2018,11503425,d2
30.04.2018,11472135,d2
29.04.2018,11454103,d1
28.04.2018,11430577,d2
27.04.2018,11400397,d3
26.04.2018,11375353,d2
25.04.2018,11342229,d2
24.04.2018,11336093,d0
23.04.2018,11318992,d2
22.04.2018,11269539,d1
21.04.2018,11250564,d2
20.04.2018,11231962,d2
19.04.2018,11208908,d3
18.04.2018,11197776,d2
17.04.2018,11179647,d0
16.04.2018,11166115,d2
09.04.2018,11014190,d1
08.04.2018,10997817,d2
06.04.2018,10982366,d2
03.04.2018,10965706,d0
28.03.2018,10938399,d2
24.03.2018,10904392,d3
16.02.2018,10706969,d2
10.01.2018,10484053,d3
01.01.2018,10426677,d2
30.11.2017,10273704,d0
23.11.2017,10234091,d2
03.10.2017,9927360,d3
23.08.2017,9687347,d1
11.08.2017,9610472,d2
25.07.2017,9515334,d2
13.07.2017,9449576,d2
09.07.2017,9424939,d1
26.06.2017,9334732,d0
19.06.2017,9298000,d1
30.05.2017,9180734,d2
24.05.2017,9152545,d2
15.05.2017,9101780,d1
11.05.2017,9080462,d0
03.05.2017,9037441,d2
24.04.2017,8952805,d1
17.04.2017,8914468,d2
14.04.2017,8885358,d1
12.04.2017,8873514,d2
10.04.2017,8844180,d2
06.04.2017,8842310,d0
04.04.2017,8801206,d1
15.03.2017,8714052,d3
07.03.2017,8680545,d1
27.02.2017,8636052,d2
20.02.2017,8620852,d2
10.02.2017,8557328,d3
